"","author","status","id"
"1","BorisJohnson","We stand side by side with India in the shared fight against COVID-19. Vital medical equipment is on its way from the UK to India to help stop the tragic loss of life from the virus and we’ll continue to work closely with the Indian government during this difficult time.",1
"2","BorisJohnson","This is the story of the UK vaccine rollout which has already saved thousands of lives.

A huge thank you to everyone involved from the scientists, to our NHS, the Armed Forces and the many volunteers. 

I urge everyone to take up the jab when you’re offered it. https://t.co/sXWzG952pG",2
"3","BorisJohnson","Today we pay our respects to the ANZACs who fought at Gallipoli, and remember all those who have fought with courage so that we may live in peace today. Their bravery, fortitude &amp; spirit of mateship live on. 
 
They will not be forgotten. #AnzacDay2021",3
"4","BorisJohnson","The UK is hosting a Global Education Summit this summer and leading efforts in our @G7 Presidency to get 40 million more girls into school.
 
I spoke to @Malala this morning about how girls education is one of the smartest investments countries can make as we build back better.",4
"5","BorisJohnson","This is a landmark achievement by the team at @UniofOxford who developed the COVID-19 vaccine.
 
Malaria kills hundreds of thousands of children a year. An effective vaccine holds out the possibility of ending this global tragedy.
 
https://t.co/9ZiKfzO27s",5
"6","BorisJohnson","I welcome the Court of Appeal's decision to overturn the convictions of 39 former sub-postmasters in the Horizon dispute, an appalling injustice which has had a devastating impact on these families for years.

Lessons should and will be learnt to ensure this never happens again.",6
"7","BorisJohnson","Happy St. George's Day! 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/ivCHymH0UP",7
"8","BorisJohnson","The world’s tropical forests are the lungs of our planet and yet we’re losing these great, teeming ecosystems at an unconscionable rate. 
 
I’m pleased the UK is joining this hugely exciting coalition to protect our tropical forests and tackle climate change. https://t.co/qb65SDhXX9",8
"9","BorisJohnson","Our shared duty is to honour and remember all those, wherever they lived and whatever their background, who laid down their lives for our freedoms at the moment of greatest peril.

My statement on the Commonwealth War Graves Commission report. https://t.co/ft6LxGzGPh",9
"10","BorisJohnson","We can build back better from this pandemic by building back greener.
 
#LeadersClimateSummit https://t.co/Uu9Xc8gr6d",10
"11","BorisJohnson","Let’s make this decade the moment of decisive change in the fight against climate change.
 
My statement at the #LeadersClimateSummit convened by @POTUS: https://t.co/HJhYmwRWMc

#BuildBackGreener | @COP26 | #EarthDay https://t.co/Ke1CXMUFmd",11
"12","BorisJohnson","WATCH LIVE: My statement at the #LeadersClimateSummit convened by @POTUS https://t.co/wlpoFbvwcv",12
"13","BorisJohnson","The commitment from @POTUS today to cut US emissions by 50-52% by 2030 is a game-changer. It will have a transformative impact in the global fight against climate change. 

I commend the President's leadership and look forward to working together for our planet ahead of @COP26.",13
"14","BorisJohnson","In supporting #StephenLawrenceDay we are reminded of Stephen's many talents, and our duty to stop racism and give young people the best possible future.
 
My thoughts are with Stephen’s parents Doreen and Neville, and the many families that have lost loved ones in their prime.",14
"15","BorisJohnson","We've reached a significant milestone with 1 in 5 adults now having had two COVID-19 vaccine doses. This is a huge UK-wide effort that has already saved thousands of lives. 

Thank you to everyone involved. https://t.co/pGoSpyMC1O",15
"16","BorisJohnson","I would like to send my warm wishes to Her Majesty The Queen on her 95th birthday.

I have always had the highest admiration for Her Majesty and her service to this country and the Commonwealth.

I am proud to serve as her Prime Minister.",16
"17","BorisJohnson","I welcome last night’s announcement. This is the right result for football fans, clubs, and communities across the country. We must continue to protect our cherished national game.",17
"18","BorisJohnson","I was appalled by the death of George Floyd and welcome this verdict.

My thoughts tonight are with George Floyd’s family and friends.",18
"19","BorisJohnson","The decision by Chelsea and Manchester City is – if confirmed – absolutely the right one and I commend them for it.

I hope the other clubs involved in the European Super League will follow their lead.",19
"20","BorisJohnson","The vaccination programme has shown what the UK can achieve when we bring together our brightest minds. 

Our new Antivirals Taskforce will seek to provide another vital defence against any future increase in infections, saving more lives. https://t.co/VpGnxPr6bf",20
"21","BorisJohnson","WATCH LIVE: An update on coronavirus (20 April 2021) https://t.co/sj7DxbLrGT",21
"22","BorisJohnson","We’re setting the most ambitious target to cut emissions in the world. 

We want to see world leaders follow our lead in the run up to @COP26, as we will only build back greener and protect our planet if we come together to take action. https://t.co/EvQhLDGbEx",22
"23","BorisJohnson","Earlier @OliverDowden and I met with representatives from the @FA, @PremierLeague and football fan groups to discuss action against the proposed European Super League. 
 
No action is off the table and we are exploring every possibility to ensure these proposals are stopped. https://t.co/QZMGRnXDcF",23
"24","BorisJohnson","It’s fantastic that we’ve been able to enjoy some more freedoms with family and friends since 12 April.

As we continue with our cautious roadmap, please follow the rules and remember hands, face, space and fresh air. https://t.co/qdqBlX7K5l",24
"25","BorisJohnson","Great to be back at the pub again, and to see so many reunited with friends and family. 
 
We’ve worked so hard to get to this point. Let’s keep going. Remember hands, face, space &amp; fresh air. https://t.co/g3ApAkpNNM",25
"26","BorisJohnson","The clubs involved must answer to their fans and the wider footballing community before taking any further steps. (2/2)",26
"27","BorisJohnson","Plans for a European Super League would be very damaging for football and we support football authorities in taking action. 

They would strike at the heart of the domestic game, and will concern fans across the country. (1/2)",27
"28","BorisJohnson","In Memoriam HRH The Prince Philip, Duke of Edinburgh, 1921-2021. https://t.co/QoKgxOYnt5",28
"29","BorisJohnson","HRH The Duke of Edinburgh incarnated the finest traditions of the @RoyalNavy. 

Today I saw cadets become officers at Britannia Royal Naval College, Dartmouth, the college The Duke passed out of prior to his distinguished naval career.
 
Our thoughts remain with HM The Queen. https://t.co/ANHtrpD2Y4",29
"30","BorisJohnson","Happy Vaisakhi to Sikhs in Britain and around the world.
 
#Vaisakhi signals hope and renewal, and as we look ahead – cautiously but optimistically – to what the coming months may bring, I want to say a huge thank you to Sikhs for your forbearance and fortitude. https://t.co/RAByjFfIZb",30
"31","BorisJohnson","Congratulations to @JoeMurphyLondon on a well-earned retirement after a spectacular innings in the lobby. 

You were always as fair and as kind as you could be under the circumstances.

I wish you all the best for the future.",31
"32","BorisJohnson","We have hit a hugely significant milestone by offering jabs to everyone in the nine highest risk groups, giving them the protection vaccines provide against COVID-19.
 
I want to thank everyone involved in the vaccine rollout, which has already saved many thousands of lives. https://t.co/VQWo9axoLG",32
"33","BorisJohnson","Ramadan Mubarak to all those observing Islam’s holiest month this year. 
 
I’m afraid that again this year it is necessary to follow the rules to stay safe but I hope this month of fast, prayer and charity brings much peace and reflection to all Muslims.",33
